audio_path,text,gender_label,age_label,emotion_label,speaker_id,age_num
audios/1046_IEO_SAD_MD.wav,IEO,female,young,sad,1046,22
audios/1018_ITS_NEU_XX.wav,ITS,female,young,neutral,1018,25
audios/1081_ITS_NEU_XX.wav,ITS,male,young,neutral,1081,30
audios/1074_IOM_HAP_XX.wav,IOM,female,young,happy,1074,31
audios/1017_IEO_HAP_MD.wav,IEO,male,old,happy,1017,42
audios/1067_IWL_SAD_XX.wav,IWL,male,old,sad,1067,66
audios/1073_WSI_FEA_XX.wav,WSI,female,young,fear,1073,24
audios/1008_IEO_ANG_HI.wav,IEO,female,old,angry,1008,46
audios/1071_MTI_HAP_XX.wav,MTI,male,old,happy,1071,41
audios/1049_DFA_SAD_XX.wav,DFA,female,young,sad,1049,25
audios/1033_WSI_FEA_XX.wav,WSI,male,young,fear,1033,31
audios/1050_TSI_NEU_XX.wav,TSI,male,old,neutral,1050,62
audios/1060_TAI_FEA_XX.wav,TAI,female,young,fear,1060,28
audios/1027_IEO_HAP_LO.wav,IEO,male,old,happy,1027,44
audios/1053_IEO_FEA_LO.wav,IEO,female,young,fear,1053,35
audios/1032_IWW_FEA_XX.wav,IWW,male,young,fear,1032,30
audios/1056_ITS_HAP_XX.wav,ITS,female,old,happy,1056,52
audios/1006_ITH_FEA_XX.wav,ITH,female,old,fear,1006,58
audios/1068_DFA_SAD_XX.wav,DFA,male,young,sad,1068,34
audios/1032_ITS_SAD_XX.wav,ITS,male,young,sad,1032,30
audios/1013_TAI_HAP_XX.wav,TAI,female,young,happy,1013,22
audios/1022_WSI_SAD_XX.wav,WSI,male,young,sad,1022,22
audios/1063_IWL_SAD_XX.wav,IWL,female,young,sad,1063,33
audios/1074_IEO_NEU_XX.wav,IEO,female,young,neutral,1074,31
audios/1019_MTI_NEU_XX.wav,MTI,male,young,neutral,1019,29
audios/1088_IWW_SAD_XX.wav,IWW,male,young,sad,1088,23
audios/1020_WSI_HAP_XX.wav,WSI,female,old,happy,1020,61
audios/1028_IWW_NEU_XX.wav,IWW,female,old,neutral,1028,57
audios/1010_IWW_HAP_XX.wav,IWW,female,young,happy,1010,27
audios/1055_IWL_NEU_XX.wav,IWL,female,old,neutral,1055,57
audios/1043_MTI_ANG_XX.wav,MTI,female,young,angry,1043,25
audios/1046_ITH_SAD_XX.wav,ITH,female,young,sad,1046,22
audios/1068_IEO_ANG_LO.wav,IEO,male,young,angry,1068,34
audios/1068_IEO_FEA_HI.wav,IEO,male,young,fear,1068,34
audios/1062_WSI_HAP_XX.wav,WSI,male,old,happy,1062,56
audios/1022_ITH_ANG_XX.wav,ITH,male,young,angry,1022,22
audios/1042_IOM_HAP_XX.wav,IOM,male,young,happy,1042,37
audios/1010_IWW_ANG_XX.wav,IWW,female,young,angry,1010,27
audios/1029_IEO_HAP_MD.wav,IEO,female,young,happy,1029,33
audios/1049_TAI_HAP_XX.wav,TAI,female,young,happy,1049,25
audios/1012_WSI_NEU_XX.wav,WSI,female,young,neutral,1012,23
audios/1008_TSI_FEA_XX.wav,TSI,female,old,fear,1008,46
audios/1061_TIE_HAP_XX.wav,TIE,female,old,happy,1061,51
audios/1064_WSI_HAP_XX.wav,WSI,male,old,happy,1064,53
audios/1044_IWW_FEA_XX.wav,IWW,male,old,fear,1044,40
audios/1006_WSI_SAD_XX.wav,WSI,female,old,sad,1006,58
audios/1035_ITS_FEA_XX.wav,ITS,male,old,fear,1035,48
audios/1027_IWW_FEA_XX.wav,IWW,male,old,fear,1027,44
audios/1043_ITH_SAD_XX.wav,ITH,female,young,sad,1043,25
audios/1016_DFA_HAP_XX.wav,DFA,male,old,happy,1016,61
audios/1026_MTI_HAP_XX.wav,MTI,male,young,happy,1026,33
audios/1023_IWW_ANG_XX.wav,IWW,male,young,angry,1023,22
audios/1062_IWL_HAP_XX.wav,IWL,male,old,happy,1062,56
audios/1057_IEO_FEA_HI.wav,IEO,male,young,fear,1057,25
audios/1037_IWL_HAP_XX.wav,IWL,female,old,happy,1037,45
audios/1036_ITH_NEU_XX.wav,ITH,male,old,neutral,1036,49
audios/1067_TSI_ANG_XX.wav,TSI,male,old,angry,1067,66
audios/1037_ITH_HAP_XX.wav,ITH,female,old,happy,1037,45
audios/1032_WSI_ANG_XX.wav,WSI,male,young,angry,1032,30
audios/1084_IEO_ANG_LO.wav,IEO,female,old,angry,1084,46
audios/1015_IEO_FEA_MD.wav,IEO,male,young,fear,1015,32
audios/1062_ITH_SAD_XX.wav,ITH,male,old,sad,1062,56
audios/1082_IEO_NEU_XX.wav,IEO,female,young,neutral,1082,20
audios/1032_IWL_SAD_XX.wav,IWL,male,young,sad,1032,30
audios/1059_MTI_FEA_XX.wav,MTI,male,young,fear,1059,21
audios/1039_TAI_NEU_XX.wav,TAI,male,old,neutral,1039,51
audios/1064_TSI_HAP_XX.wav,TSI,male,old,happy,1064,53
audios/1073_IWL_SAD_XX.wav,IWL,female,young,sad,1073,24
audios/1041_MTI_HAP_XX.wav,MTI,male,old,happy,1041,42
audios/1012_IWL_NEU_XX.wav,IWL,female,young,neutral,1012,23
audios/1083_ITS_ANG_XX.wav,ITS,male,old,angry,1083,45
audios/1077_IEO_SAD_HI.wav,IEO,male,young,sad,1077,20
audios/1055_IWL_SAD_XX.wav,IWL,female,old,sad,1055,57
audios/1026_MTI_ANG_XX.wav,MTI,male,young,angry,1026,33
audios/1029_IWL_NEU_XX.wav,IWL,female,young,neutral,1029,33
audios/1053_IEO_HAP_HI.wav,IEO,female,young,happy,1053,35
audios/1016_IEO_FEA_HI.wav,IEO,male,old,fear,1016,61
audios/1044_IOM_SAD_XX.wav,IOM,male,old,sad,1044,40
audios/1011_IEO_HAP_MD.wav,IEO,male,young,happy,1011,32
audios/1069_DFA_HAP_XX.wav,DFA,male,young,happy,1069,27
audios/1004_WSI_ANG_XX.wav,WSI,female,old,angry,1004,42
audios/1053_IWL_NEU_XX.wav,IWL,female,young,neutral,1053,35
audios/1002_IEO_FEA_LO.wav,IEO,female,young,fear,1002,21
audios/1066_TAI_ANG_XX.wav,TAI,male,young,angry,1066,25
audios/1006_DFA_SAD_XX.wav,DFA,female,old,sad,1006,58
audios/1085_DFA_NEU_XX.wav,DFA,male,young,neutral,1085,34
audios/1016_IWW_NEU_XX.wav,IWW,male,old,neutral,1016,61
audios/1001_TSI_ANG_XX.wav,TSI,male,old,angry,1001,51
audios/1074_TAI_HAP_XX.wav,TAI,female,young,happy,1074,31
audios/1010_ITS_NEU_XX.wav,ITS,female,young,neutral,1010,27
audios/1061_ITH_ANG_XX.wav,ITH,female,old,angry,1061,51
audios/1079_WSI_HAP_XX.wav,WSI,female,young,happy,1079,21
audios/1002_IWL_FEA_XX.wav,IWL,female,young,fear,1002,21
audios/1055_IOM_NEU_XX.wav,IOM,female,old,neutral,1055,57
audios/1082_TIE_SAD_XX.wav,TIE,female,young,sad,1082,20
audios/1003_IWL_HAP_XX.wav,IWL,female,young,happy,1003,21
audios/1060_IWL_HAP_XX.wav,IWL,female,young,happy,1060,28
audios/1064_IEO_HAP_LO.wav,IEO,male,old,happy,1064,53
audios/1084_MTI_FEA_XX.wav,MTI,female,old,fear,1084,46
audios/1042_MTI_SAD_XX.wav,MTI,male,young,sad,1042,37
audios/1013_IWW_FEA_XX.wav,IWW,female,young,fear,1013,22
audios/1007_MTI_ANG_XX.wav,MTI,female,young,angry,1007,38
audios/1081_MTI_HAP_XX.wav,MTI,male,young,happy,1081,30
audios/1008_TIE_ANG_XX.wav,TIE,female,old,angry,1008,46
audios/1074_WSI_ANG_XX.wav,WSI,female,young,angry,1074,31
audios/1075_TIE_FEA_XX.wav,TIE,female,old,fear,1075,40
audios/1039_ITH_NEU_XX.wav,ITH,male,old,neutral,1039,51
audios/1040_WSI_FEA_XX.wav,WSI,male,old,fear,1040,42
audios/1070_TAI_NEU_XX.wav,TAI,male,young,neutral,1070,25
audios/1005_IEO_HAP_HI.wav,IEO,male,young,happy,1005,29
audios/1068_IEO_ANG_MD.wav,IEO,male,young,angry,1068,34
audios/1084_IWW_NEU_XX.wav,IWW,female,old,neutral,1084,46
audios/1021_IEO_FEA_LO.wav,IEO,female,young,fear,1021,30
audios/1010_DFA_FEA_XX.wav,DFA,female,young,fear,1010,27
audios/1076_IEO_HAP_HI.wav,IEO,female,young,happy,1076,25
audios/1042_IWW_ANG_XX.wav,IWW,male,young,angry,1042,37
audios/1058_IOM_ANG_XX.wav,IOM,female,young,angry,1058,36
audios/1004_TIE_HAP_XX.wav,TIE,female,old,happy,1004,42
audios/1090_IWW_ANG_XX.wav,IWW,male,old,angry,1090,50
audios/1008_IWL_SAD_XX.wav,IWL,female,old,sad,1008,46
audios/1063_IEO_ANG_LO.wav,IEO,female,young,angry,1063,33
audios/1069_TAI_FEA_XX.wav,TAI,male,young,fear,1069,27
audios/1064_TSI_FEA_XX.wav,TSI,male,old,fear,1064,53
