Wall time,Step,Value
1775640639.4372146,1,0.11758584529161453
1775640641.0748844,2,0.1304347813129425
1775640644.0698836,3,0.13750000298023224
1775640644.3526964,4,0.1417004019021988
1775640647.414319,5,0.1326315850019455
1775640649.0805705,6,0.1651282012462616
1775640650.719355,7,0.1428571492433548
1775640652.3420005,8,0.14492753148078918
1775640653.9720466,9,0.1360406130552292
1775640655.6005642,10,0.15035317838191986
1775640657.312341,11,0.14721345901489258
1775640658.9608586,12,0.15463916957378387
1775640660.582618,13,0.13245703279972076
1775640662.2732592,14,0.17469879984855652
1775640662.5496824,15,0.1200396791100502
1775640665.667975,16,0.14419087767601013
1775640667.3050122,17,0.16260161995887756
1775640668.896296,18,0.147557333111763
1775640670.4360151,19,0.1299254596233368
1775640670.6759076,20,0.14075630903244019
1775640672.3046172,21,0.14849428832530975
1775640673.887588,22,0.13831967115402222
1775640676.9048033,23,0.11599999666213989
1775640677.1994004,24,0.141865074634552
1775640680.3295624,25,0.14755839109420776
1775640681.9243398,26,0.1458117961883545
1775640683.5489855,27,0.1428571492433548
1775640685.112694,28,0.13786213099956512
1775640688.0421634,29,0.14799153804779053
1775640691.107901,30,0.14198161661624908
1775640694.1376438,31,0.13885898888111115
1775640697.0865438,32,0.1617647111415863
1775640700.454386,33,0.14367160201072693
1775640733.4280035,34,0.16470588743686676
1775640733.6938343,35,0.1599999964237213
1775640733.9977121,36,0.12163509428501129
1775640734.2582834,37,0.14097362756729126
1775640734.5469122,38,0.11947791278362274
1775640734.8219051,39,0.17786970734596252
1775640735.0634718,40,0.14859437942504883
1775640735.3141108,41,0.14122533798217773
1775640735.5659266,42,0.17090539634227753
1775640735.8269172,43,0.1945837438106537
1775640736.0837417,44,0.19307449460029602
1775640736.3497438,45,0.16614745557308197
1775640736.5982897,46,0.15392456948757172
1775640736.8608606,47,0.13709677755832672
1775640737.09938,48,0.14071856439113617
1775640737.335994,49,0.15706805884838104
1775640737.5763028,50,0.13622291386127472
1775640737.8309767,51,0.1989847719669342
1775640738.1078598,52,0.14185814559459686
1775640738.3494158,53,0.1442786008119583
1775640738.6043863,54,0.19178082048892975
1775640738.845044,55,0.156476691365242
1775640739.1346812,56,0.13543787598609924
1775640739.3920665,57,0.1479642540216446
1775640739.66674,58,0.1383315771818161
1775640739.8995857,59,0.15962925553321838
1775640740.1476429,60,0.1430010050535202
1775640740.4020565,61,0.15772531926631927
1775640740.6385322,62,0.16493776440620422
1775640740.8852754,63,0.12840043008327484
1775640741.127782,64,0.1248699277639389
1775640741.4099405,65,0.16507937014102936
1775640741.6588857,66,0.18963485956192017
1775640773.9380894,67,0.17005348205566406
1775640774.207459,68,0.1610526293516159
1775640774.4781663,69,0.13060817122459412
1775640774.7158473,70,0.15212981402873993
1775640774.9832256,71,0.1375502049922943
1775640775.24559,72,0.1644260585308075
1775640775.4958272,73,0.1465863436460495
1775640775.763384,74,0.1526479721069336
1775640776.0245779,75,0.18718209862709045
1775640776.26307,76,0.1775325983762741
1775640776.5169787,77,0.18363064527511597
1775640776.7474809,78,0.19833852350711823
1775640776.9940274,79,0.14780835807323456
1775640777.2666597,80,0.15120968222618103
1775640777.5382657,81,0.15269461274147034
1775640777.8164709,82,0.1717277467250824
1775640778.0842323,83,0.14654283225536346
1775640778.3362856,84,0.15431472659111023
1775640778.586742,85,0.19280719757080078
1775640778.8265808,86,0.17412935197353363
1775640779.0734544,87,0.17281349003314972
1775640779.32926,88,0.15958549082279205
1775640779.5766551,89,0.13951119780540466
1775640779.8295326,90,0.15193644165992737
1775640780.0788116,91,0.17001056671142578
1775640780.3152487,92,0.15550978481769562
1775640780.5591755,93,0.16012084484100342
1775640780.800617,94,0.15987125039100647
1775640781.0321054,95,0.17842324078083038
1775640781.2720923,96,0.1403699666261673
1775640781.5207283,97,0.12070759385824203
1775640781.7741995,98,0.18095238506793976
1775640782.0206494,99,0.20259128510951996
