resolved_audio_path,duration_sec,f0_mean,f0_std,f0_min,f0_max,f0_range,energy_mean,energy_std,energy_range,tempo_bpm,pause_ratio,spec_centroid_mean,spec_bandwidth_mean,spec_rolloff95_mean,spec_flux_mean,spec_tilt_proxy,mfcc_mean,mfcc_std,mfcc_delta_std,hnr_mean,jitter_local,shimmer_local,feature_status
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1046_IEO_SAD_MD.wav,2.06875,109.87307163006653,3.718566014915712,101.74796921026864,115.5352696872273,13.787300476958663,0.006915046367794275,0.0021021391730755568,0.008833710104227066,144.23076923076923,0.0,1176.0067571297789,1883.0108286277875,6076.322115384615,1.0781768560409546,-24.707399368286133,-16.494665145874023,121.75885009765625,1.7163091897964478,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1018_ITS_NEU_XX.wav,2.3356875,200.870833842159,14.813583597673519,167.2106416577019,216.8453740602837,49.63473240258179,0.011775811202824116,0.007415367756038904,0.028292564675211906,144.23076923076923,0.0,1325.1196016155493,1899.0024047606773,5896.725171232877,1.3758432865142822,-22.967456817626953,-15.767562866210938,115.13766479492188,3.0277411937713623,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1081_ITS_NEU_XX.wav,2.5025,132.94591984402132,33.672015159450424,90.12504626108301,194.30638823072118,104.18134196963817,0.009619365446269512,0.006015940569341183,0.02444831980392337,133.92857142857142,0.0,1456.6984820016123,1985.1579932387376,6171.380537974684,1.4318991899490356,-21.80786895751953,-16.325786590576172,113.80339050292969,3.148735284805298,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1074_IOM_HAP_XX.wav,2.8028125,285.1296659849047,38.00104133187499,216.8453740602837,360.5001850443321,143.65481098404842,0.05932363495230675,0.05338345095515251,0.19117954629473388,144.23076923076923,0.31497379863975916,1509.4730098172417,1746.4165996140093,5386.541193181818,1.8017429113388062,-19.814701080322266,-15.080460548400879,93.672119140625,5.267070293426514,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1017_IEO_HAP_MD.wav,1.8351875,,,,,,0.014406928792595863,0.013358398340642452,0.0461432789452374,156.25,0.0,1236.773939767122,1801.322681234294,5766.567887931034,1.3489762544631958,-24.58401107788086,-15.815735816955566,112.66928100585938,4.0656280517578125,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1067_IWL_SAD_XX.wav,2.7360625,157.11683936839148,17.40111406398777,116.20455869578394,189.86842419010387,73.66386549431992,0.025724738836288452,0.024979298934340477,0.09717603027820587,104.16666666666667,0.0,1157.5288327387714,1711.7389398564285,5458.212209302325,1.4742177724838257,-26.272415161132812,-14.604912757873535,105.71617126464844,3.5615739822387695,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1073_WSI_FEA_XX.wav,3.003,189.62975983695995,27.245888083223907,110.95694720678449,237.8414230005442,126.88447579375972,0.01661442033946514,0.013471007347106934,0.04666862776502967,144.23076923076923,0.0,1405.259175828355,1827.0246933847022,5555.352393617021,1.3623782396316528,-24.2076416015625,-14.89528751373291,109.74647521972656,3.7731285095214844,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1008_IEO_ANG_HI.wav,2.8695625,498.1342901590013,40.47439799470875,395.40560814115844,599.3228307506727,203.91722260951423,0.16262653470039368,0.15831807255744934,0.5046890978701413,104.16666666666667,0.34205998301134755,1986.1360203252455,1783.1868962272977,5696.006944444444,2.0100598335266113,-10.682567596435547,-13.364212036132812,77.65135192871094,7.271601676940918,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1071_MTI_HAP_XX.wav,1.901875,534.461596166881,44.23440054581235,448.9848193237491,599.3228307506727,150.33801142692357,0.0365842841565609,0.02778657153248787,0.08788258815184236,117.1875,0.0,949.8586603663049,1434.2925239045405,4322.005208333333,1.4940515756607056,-29.83452033996582,-13.851302146911621,102.57606506347656,4.418103218078613,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1049_DFA_SAD_XX.wav,2.002,224.44285749213188,40.47437377902928,171.11900513652043,304.8994046511524,133.78039951463197,0.01565798930823803,0.013798139058053493,0.05288447719067335,144.23076923076923,0.0,1254.7656539985405,1761.1705682421266,5499.007936507936,1.4537469148635864,-24.64006233215332,-15.605982780456543,108.96464538574219,3.5260837078094482,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1033_WSI_FEA_XX.wav,2.602625,185.63584753444653,49.495120009095515,85.06671609508557,259.3679109302019,174.30119483511635,0.02460741437971592,0.025316396728157997,0.10606752568855882,144.23076923076923,0.004082416790740173,1548.6292450940537,1889.4562250421018,5929.7827743902435,1.5583666563034058,-21.933822631835938,-15.559954643249512,104.69043731689453,4.2982916831970215,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1050_TSI_NEU_XX.wav,1.8018125,124.23348240488589,1.3894824624664823,120.99940892192926,125.26644386241279,4.267034940483526,0.014350499957799911,0.014784290455281734,0.0626155287027359,144.23076923076923,0.0,1790.4585856446233,2083.3977470787772,6244.38048245614,1.4947887659072876,-19.819881439208984,-15.934511184692383,110.90168762207031,4.009825229644775,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1060_TAI_FEA_XX.wav,2.035375,244.6106793496343,19.5378012737788,192.07458901020084,294.5134116201051,102.43882260990426,0.021833468228578568,0.012367933988571167,0.04909616196528077,170.45454545454547,0.0,1434.4204991054296,1803.2286777215363,5588.5009765625,1.5320193767547607,-25.081308364868164,-15.339913368225098,98.14080047607422,4.520420551300049,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1027_IEO_HAP_LO.wav,1.8018125,,,,,,0.0074084484949707985,0.0024843383580446243,0.010510494466871023,125.0,0.0,1264.2945230611444,1912.5704940544879,6153.097587719299,1.1766422986984253,-23.450897216796875,-16.264278411865234,117.54370880126953,2.93363881111145,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1053_IEO_FEA_LO.wav,2.43575,172.58195826239367,2.052171119812794,169.1535357262897,176.1331747192297,6.979638992939982,0.006455622147768736,0.0027262435760349035,0.010233714245259762,110.29411764705883,0.0,1298.3336284736295,1932.1358256006074,6157.974837662337,1.185472011566162,-23.92315673828125,-17.29973602294922,120.24014282226562,2.0497982501983643,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1032_IWW_FEA_XX.wav,2.602625,90.7461888113166,4.279019480009029,85.55950256826023,99.42404238175475,13.864539813494517,0.007895140908658504,0.004193467553704977,0.016220676247030497,133.92857142857142,0.0,1290.9503879821993,1902.7322250832385,5984.4702743902435,1.217754602432251,-23.50307273864746,-17.234189987182617,118.20343017578125,3.1734297275543213,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1056_ITS_HAP_XX.wav,2.43575,289.14329886827596,75.9816289850557,190.9683207820833,393.12823941810046,202.15991863601715,0.033459682017564774,0.028757723048329353,0.10589903988875449,187.5,0.0,1543.0790948995189,1883.77998687446,5912.236201298701,1.7859688997268677,-21.682804107666016,-15.89521312713623,95.4880142211914,5.217668533325195,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1006_ITH_FEA_XX.wav,3.2365625,191.32649965521526,60.31206156336002,54.52538663326288,257.8740616879158,203.34867505465292,0.009464535862207413,0.004980314057320356,0.02699591312557459,104.16666666666667,0.0,1272.003137407261,1867.3146726593518,5902.879901960784,1.3623549938201904,-22.543642044067383,-16.773122787475586,118.18965148925781,3.068760871887207,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1068_DFA_SAD_XX.wav,2.93625,,,,,,0.007590088993310928,0.003918576054275036,0.018091053469106555,125.0,0.0,1196.722716381071,1887.8970539481631,5990.234375,1.1838022470474243,-23.241817474365234,-16.40471839904785,120.27252960205078,2.2246906757354736,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1032_ITS_SAD_XX.wav,2.402375,111.68701314449197,9.063102978082323,88.57675191023606,132.71517423385683,44.13842232362077,0.011311528272926807,0.007884671911597252,0.028581217862665653,125.0,0.0,1445.2534495140987,1940.423140759313,5962.890625,1.366662621498108,-22.320491790771484,-16.781892776489258,112.07904052734375,3.367577075958252,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1013_TAI_HAP_XX.wav,2.535875,280.2458649023643,96.61471332946353,209.4588245641254,568.9624072789126,359.50358271478717,0.060989439487457275,0.09862757474184036,0.4511943971738219,93.75,0.39429191107605854,1580.2329859095912,1923.078336540352,5887.40234375,1.6754798889160156,-20.011940002441406,-14.415574073791504,93.32136535644531,5.388902187347412,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1022_WSI_SAD_XX.wav,3.2365625,154.59028586740237,25.28999175758844,130.43520697655643,216.8453740602837,86.41016708372726,0.01182873547077179,0.007312391884624958,0.028328069485723972,170.45454545454547,0.0,1613.585156154097,1880.2656182027577,5774.816176470588,1.3943490982055664,-21.75973892211914,-15.957944869995117,109.84178161621094,3.9616575241088867,,,,ok
C:\Users\33932\Desktop\token-level\crema_data_1000\audios\1063_IWL_SAD_XX.wav,2.602625,185.55144063690756,38.363871980666865,106.56005016284841,229.73967099940702,123.17962083655861,0.008970336057245731,0.005335487425327301,0.018395816441625357,133.92857142857142,0.0,1183.7705199682466,1785.5289471197516,5711.890243902439,1.1767582893371582,-25.380538940429688,-16.687149047851562,117.6218032836914,2.2544291019439697,,,,ok
