file,speaker
1001/1001_TSI_HAP_XX.wav,1001
1001/1001_WSI_FEA_XX.wav,1001
1001/1001_IEO_HAP_HI.wav,1001
1001/1001_TIE_DIS_XX.wav,1001
1001/1001_TAI_SAD_XX.wav,1001
1001/1001_ITS_SAD_XX.wav,1001
1001/1001_ITH_DIS_XX.wav,1001
1001/1001_TSI_DIS_XX.wav,1001
1001/1001_IEO_HAP_MD.wav,1001
1001/1001_TSI_NEU_XX.wav,1001
1001/1001_IOM_DIS_XX.wav,1001
1001/1001_IEO_DIS_HI.wav,1001
1001/1001_IOM_ANG_XX.wav,1001
1001/1001_IWW_FEA_XX.wav,1001
1001/1001_IWL_HAP_XX.wav,1001
1001/1001_TIE_HAP_XX.wav,1001
1001/1001_IWL_SAD_XX.wav,1001
1001/1001_TIE_SAD_XX.wav,1001
1001/1001_TSI_ANG_XX.wav,1001
1001/1001_IEO_SAD_LO.wav,1001
1002/1002_MTI_ANG_XX.wav,1002
1002/1002_IEO_DIS_LO.wav,1002
1002/1002_IWL_NEU_XX.wav,1002
1002/1002_TIE_ANG_XX.wav,1002
1002/1002_IOM_HAP_XX.wav,1002
1002/1002_TIE_DIS_XX.wav,1002
1002/1002_MTI_SAD_XX.wav,1002
1002/1002_IOM_ANG_XX.wav,1002
1002/1002_ITH_DIS_XX.wav,1002
1002/1002_IWW_HAP_XX.wav,1002
1002/1002_IWW_FEA_XX.wav,1002
1002/1002_IOM_SAD_XX.wav,1002
1002/1002_WSI_NEU_XX.wav,1002
1002/1002_WSI_FEA_XX.wav,1002
1002/1002_ITH_NEU_XX.wav,1002
1002/1002_MTI_DIS_XX.wav,1002
1002/1002_ITS_DIS_XX.wav,1002
1002/1002_IWL_HAP_XX.wav,1002
1002/1002_WSI_HAP_XX.wav,1002
1002/1002_IOM_NEU_XX.wav,1002
1003/1003_ITH_ANG_XX.wav,1003
1003/1003_TAI_HAP_XX.wav,1003
1003/1003_IEO_DIS_HI.wav,1003
1003/1003_TIE_ANG_XX.wav,1003
1003/1003_TSI_DIS_XX.wav,1003
1003/1003_TAI_NEU_XX.wav,1003
1003/1003_MTI_DIS_XX.wav,1003
1003/1003_IWW_FEA_XX.wav,1003
1003/1003_TIE_SAD_XX.wav,1003
1003/1003_DFA_SAD_XX.wav,1003
1003/1003_IWL_SAD_XX.wav,1003
1003/1003_IEO_NEU_XX.wav,1003
1003/1003_ITH_NEU_XX.wav,1003
1003/1003_IEO_SAD_LO.wav,1003
1003/1003_IOM_ANG_XX.wav,1003
1003/1003_TAI_SAD_XX.wav,1003
1003/1003_ITS_NEU_XX.wav,1003
1003/1003_ITH_DIS_XX.wav,1003
1003/1003_MTI_ANG_XX.wav,1003
1003/1003_TSI_NEU_XX.wav,1003
1005/1005_IEO_HAP_HI.wav,1005
1005/1005_IEO_ANG_MD.wav,1005
1005/1005_IEO_SAD_MD.wav,1005
1005/1005_MTI_ANG_XX.wav,1005
1005/1005_IOM_NEU_XX.wav,1005
1005/1005_IEO_HAP_MD.wav,1005
1005/1005_MTI_NEU_XX.wav,1005
1005/1005_TIE_HAP_XX.wav,1005
1005/1005_IWW_NEU_XX.wav,1005
1005/1005_IWW_FEA_XX.wav,1005
1005/1005_TAI_NEU_XX.wav,1005
1005/1005_TAI_DIS_XX.wav,1005
1005/1005_ITH_HAP_XX.wav,1005
1005/1005_TAI_FEA_XX.wav,1005
1005/1005_MTI_FEA_XX.wav,1005
1005/1005_WSI_ANG_XX.wav,1005
1005/1005_IEO_HAP_LO.wav,1005
1005/1005_IWW_ANG_XX.wav,1005
1005/1005_ITS_ANG_XX.wav,1005
1005/1005_IEO_NEU_XX.wav,1005
1007/1007_IOM_ANG_XX.wav,1007
1007/1007_IEO_HAP_MD.wav,1007
1007/1007_IEO_HAP_LO.wav,1007
1007/1007_IWW_ANG_XX.wav,1007
1007/1007_IWW_SAD_XX.wav,1007
1007/1007_TAI_FEA_XX.wav,1007
1007/1007_TIE_ANG_XX.wav,1007
1007/1007_ITH_HAP_XX.wav,1007
1007/1007_MTI_HAP_XX.wav,1007
1007/1007_ITH_FEA_XX.wav,1007
1007/1007_IWL_SAD_XX.wav,1007
1007/1007_IWW_HAP_XX.wav,1007
1007/1007_IEO_SAD_HI.wav,1007
1007/1007_TIE_DIS_XX.wav,1007
1007/1007_IEO_FEA_LO.wav,1007
1007/1007_TSI_NEU_XX.wav,1007
