file,speaker
1001/1001_IWW_NEU_XX.wav,1001
1001/1001_TIE_NEU_XX.wav,1001
1001/1001_IWW_HAP_XX.wav,1001
1001/1001_MTI_NEU_XX.wav,1001
1001/1001_DFA_SAD_XX.wav,1001
1001/1001_TAI_DIS_XX.wav,1001
1001/1001_IOM_DIS_XX.wav,1001
1001/1001_IEO_DIS_LO.wav,1001
1001/1001_IWL_HAP_XX.wav,1001
1001/1001_MTI_FEA_XX.wav,1001
1001/1001_IWL_NEU_XX.wav,1001
1001/1001_IEO_FEA_LO.wav,1001
1001/1001_IWW_DIS_XX.wav,1001
1001/1001_ITH_DIS_XX.wav,1001
1001/1001_IEO_NEU_XX.wav,1001
1001/1001_MTI_DIS_XX.wav,1001
1001/1001_ITS_NEU_XX.wav,1001
1001/1001_IEO_SAD_HI.wav,1001
1001/1001_TAI_SAD_XX.wav,1001
1001/1001_TIE_HAP_XX.wav,1001
1002/1002_IWL_FEA_XX.wav,1002
1002/1002_IWL_HAP_XX.wav,1002
1002/1002_WSI_NEU_XX.wav,1002
1002/1002_IEO_NEU_XX.wav,1002
1002/1002_WSI_SAD_XX.wav,1002
1002/1002_IOM_HAP_XX.wav,1002
1002/1002_MTI_NEU_XX.wav,1002
1002/1002_ITS_SAD_XX.wav,1002
1002/1002_IWL_NEU_XX.wav,1002
1002/1002_IEO_SAD_HI.wav,1002
1002/1002_IEO_DIS_HI.wav,1002
1002/1002_IEO_SAD_MD.wav,1002
1002/1002_TSI_FEA_XX.wav,1002
1002/1002_IWW_SAD_XX.wav,1002
1002/1002_DFA_NEU_XX.wav,1002
1002/1002_IOM_NEU_XX.wav,1002
1002/1002_TAI_NEU_XX.wav,1002
1002/1002_ITS_ANG_XX.wav,1002
1002/1002_IOM_FEA_XX.wav,1002
1002/1002_IWL_DIS_XX.wav,1002
1003/1003_IWW_NEU_XX.wav,1003
1003/1003_IWL_DIS_XX.wav,1003
1003/1003_ITH_HAP_XX.wav,1003
1003/1003_IEO_DIS_LO.wav,1003
1003/1003_MTI_NEU_XX.wav,1003
1003/1003_IEO_SAD_LO.wav,1003
1003/1003_IOM_NEU_XX.wav,1003
1003/1003_ITH_NEU_XX.wav,1003
1003/1003_MTI_SAD_XX.wav,1003
1003/1003_MTI_HAP_XX.wav,1003
1003/1003_WSI_NEU_XX.wav,1003
1003/1003_TIE_NEU_XX.wav,1003
1003/1003_IEO_DIS_MD.wav,1003
1003/1003_DFA_SAD_XX.wav,1003
1003/1003_IEO_FEA_HI.wav,1003
1003/1003_IEO_SAD_HI.wav,1003
1003/1003_IWL_HAP_XX.wav,1003
1003/1003_TSI_SAD_XX.wav,1003
1003/1003_IEO_SAD_MD.wav,1003
1003/1003_MTI_FEA_XX.wav,1003
1005/1005_TAI_NEU_XX.wav,1005
1005/1005_IWL_NEU_XX.wav,1005
1005/1005_WSI_FEA_XX.wav,1005
1005/1005_ITH_NEU_XX.wav,1005
1005/1005_IWL_SAD_XX.wav,1005
1005/1005_DFA_NEU_XX.wav,1005
1005/1005_IEO_DIS_MD.wav,1005
1005/1005_IWL_HAP_XX.wav,1005
1005/1005_MTI_SAD_XX.wav,1005
1005/1005_ITS_SAD_XX.wav,1005
1005/1005_ITS_NEU_XX.wav,1005
1005/1005_ITS_DIS_XX.wav,1005
1005/1005_IWL_FEA_XX.wav,1005
1005/1005_IEO_HAP_LO.wav,1005
1005/1005_TAI_SAD_XX.wav,1005
1005/1005_TSI_NEU_XX.wav,1005
1005/1005_DFA_HAP_XX.wav,1005
1005/1005_IEO_SAD_MD.wav,1005
1005/1005_IEO_HAP_MD.wav,1005
1005/1005_MTI_DIS_XX.wav,1005
1007/1007_ITH_NEU_XX.wav,1007
1007/1007_IEO_ANG_LO.wav,1007
1007/1007_ITS_HAP_XX.wav,1007
1007/1007_IWW_HAP_XX.wav,1007
1007/1007_IWL_SAD_XX.wav,1007
1007/1007_IEO_ANG_MD.wav,1007
1007/1007_MTI_HAP_XX.wav,1007
1007/1007_DFA_SAD_XX.wav,1007
1007/1007_ITS_FEA_XX.wav,1007
1007/1007_IEO_NEU_XX.wav,1007
1007/1007_ITS_NEU_XX.wav,1007
1007/1007_TIE_SAD_XX.wav,1007
1007/1007_IWW_NEU_XX.wav,1007
1007/1007_MTI_NEU_XX.wav,1007
1007/1007_ITH_SAD_XX.wav,1007
1007/1007_IWL_DIS_XX.wav,1007
1007/1007_ITH_FEA_XX.wav,1007
1007/1007_IOM_DIS_XX.wav,1007
1007/1007_IEO_DIS_MD.wav,1007
1007/1007_IEO_SAD_LO.wav,1007
1008/1008_TIE_NEU_XX.wav,1008
1008/1008_IEO_DIS_LO.wav,1008
1008/1008_IOM_HAP_XX.wav,1008
1008/1008_IWL_SAD_XX.wav,1008
1008/1008_TAI_NEU_XX.wav,1008
1008/1008_ITS_NEU_XX.wav,1008
1008/1008_IEO_SAD_MD.wav,1008
1008/1008_TSI_NEU_XX.wav,1008
1008/1008_ITH_SAD_XX.wav,1008
1008/1008_TAI_HAP_XX.wav,1008
1008/1008_MTI_NEU_XX.wav,1008
1008/1008_ITH_NEU_XX.wav,1008
1008/1008_DFA_SAD_XX.wav,1008
1008/1008_IEO_NEU_XX.wav,1008
1008/1008_ITH_DIS_XX.wav,1008
1008/1008_ITH_HAP_XX.wav,1008
1008/1008_MTI_FEA_XX.wav,1008
1008/1008_IWL_NEU_XX.wav,1008
1008/1008_MTI_ANG_XX.wav,1008
1008/1008_IEO_FEA_MD.wav,1008
1010/1010_TAI_HAP_XX.wav,1010
1010/1010_ITH_SAD_XX.wav,1010
1010/1010_WSI_DIS_XX.wav,1010
1010/1010_IWL_DIS_XX.wav,1010
1010/1010_TSI_DIS_XX.wav,1010
1010/1010_MTI_SAD_XX.wav,1010
1010/1010_TIE_HAP_XX.wav,1010
1010/1010_ITS_NEU_XX.wav,1010
1010/1010_IEO_DIS_LO.wav,1010
1010/1010_TIE_NEU_XX.wav,1010
